sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
133,Faridabad,Fortis Hospitals Limited,"Tel: 0129-420 0000, Mob: +91-75318 1818, Email: parkfaridabad@gmail.com, Neelam Bata Road, Faridabad-121001, H, Tel: +91 129246600, Mob.: +91 9811994, Fax: +91 129 4009973, Email: info.fbd@fortishealthcare.com, QRG Super Speciality Hospital","0129-420 0000,; +91 129246600,; +91 129 4009973",info.fbd@fortishealthcare.com; parkfaridabad@gmail.com,1/ hospital (OPD & Indoor) aryana Total facilities of the 981 hospital (OPD & Indoor),06.04.2017,
134,Faridabad,QRG Super Speciality Hospital,"Fax: +91 129 4009973, Email: info.fbd@fortishealthcare.com, QRG Medicare Ltd. Plot No. -1, Sector, Faridabad, -121002 Haryana, India, SSB Heart and Multispeciality Hospita, A unit of SSB Central Hospital & Rese",+91 129 4009973,info.fbd@fortishealthcare.com,"hospital (OPD & Indoor) -16 Total facilities of the hospital (OPD & Indoor l, arch Centre",24.11.2022,
135,Faridabad,A unit of SSB Central Hospital & Rese,"Faridabad, -121002 Haryana, India, SSB Heart and Multispeciality Hospita, Ltd., Plot No. 69, Mathura Road, Near Neela, Sector 20 A, Faridabad(Delhi NCR)-121, Accord Superspecialty Hospital,, (A Unit of SCL Healthcare Pvt Ltd)",,,"hospital (OPD & Indoor l, arch Centre Total facilities of the m Flyover, hospital (OPD & Indoor 001",24.11.2022,
136,Faridabad,Accord Superspecialty Hospital,"Plot No. 69, Mathura Road, Near Neela, Sector 20 A, Faridabad(Delhi NCR)-121, (A Unit of SCL Healthcare Pvt Ltd),, Sector-86, Greater Faridabad, Haryana, PIN- 121001, AMRITA INSTITUTE OF MEDICAL SCIENCES",,,"m Flyover, hospital (OPD & Indoor 001 Total facilities of the . hospital (OPD & Indoor &",19.04.2023,
137,Faridabad,AMRITA INSTITUTE OF MEDICAL SCIENCES,"PIN- 121001, RESEARCH CENTRE,, Mata Amritanandamayi Marg,, Sector 88, Faridabad Haryana 121002, Apollo Hospitals, International",,,"hospital (OPD & Indoor & Total facilities of hospital (OPD & Indoor) Total facilities of hospital , (OPD & Indoor)",29.10.2024,
138,,Apollo Hospitals,"Mata Amritanandamayi Marg,, Sector 88, Faridabad Haryana 121002, International, Plot No.1A, Bhat GIDC Estate, Dist. G, Gujarat PIN : 382428, PH :7698815013, SHANTI GOPAL HOSPITAL, Plot no:- NH-1, Ahinsa Khand-II, Indi",7698815013,,"(OPD & Indoor) Total facilities of hospital , (OPD & Indoor) Modified on andhinagar Payment as per MoU. and ra Puram,",05.04.2011,"Gandhinagar   Plot No.1A, Bhat GIDC Estate, Dist. Gandhinagar    Payment as per MoU."
139,Ghaziabad,SHANTI GOPAL HOSPITAL,"Gujarat PIN : 382428, PH :7698815013, Plot no:- NH-1, Ahinsa Khand-II, Indi, Ghaziabad-201014,, Ph: 0120-4777000/1,, E-Mail: admin@shantigopalhospitals.co, GANESHHOSPITAL","7698815013; 0120-4777000/1,",admin@shantigopalhospitals.com,"and ra Puram, Total facilities of hospital (OPD & Indoor) m",17.08.2021,
140,Ghaziabad,Yashoda Hospital & Research Centre,"Ph: 0120-4777000/1,, E-Mail: admin@shantigopalhospitals.co, GANESHHOSPITAL, II- C/3, Nehru Nagar, Ghaziabad- (UP), Ph:-0120-2792809, 810,811, 4183900, FaX:-0120-2792982","0120-4777000/1,; 0120-2792809, 810,811, 4183900                 (; 0120-2792982",admin@shantigopalhospitals.com,(OPD & Indoor) m - 201001 Total facilities of hospital (OPD & Indoor),17.07.2012,
141,Ghaziabad,Yashoda Hospital & Research Centre,"Ph:-0120-2792809, 810,811, 4183900, FaX:-0120-2792982, IIIrd M, Nehru Nagar,, Ghaziabad-201001, Uttar Pradesh, Max Super Speciality Hospital, Vaisha","0120-2792809, 810,811, 4183900                 (; 0120-2792982",,(OPD & Indoor) Total facilities of hospital (OPD & Indoor) li,08.08.2023,
142,Ghaziabad,"Max Super Speciality Hospital, Vaisha","Ghaziabad-201001, Uttar Pradesh, ( A unit of Crosslay Remedies Ltd.), W-3, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh-201012, ARTEMIS MEDICARE SERVICES LTD.",,,"(OPD & Indoor) li Total facilities of hospital (OPD & Indoor) Acceptable for Medical Oncology, Cardiology &",29.10.2024,
143,Gurgaon,ARTEMIS MEDICARE SERVICES LTD.,"W-3, Sector-1, Vaishali, Ghaziabad, Uttar Pradesh-201012, Sec-51, Gurgaon-122001, Haryana, Ph: 0124-6767999, Fax: 0124-6767701,, MEDANTA THE MEDICITY, Sector 38, Gurgaon, Haryana-122001","0124-6767999,; 0124-6767701,",,"(OPD & Indoor) Acceptable for Medical Oncology, Cardiology & Cardiovascular Surgery and Orthopedics (Joint Replacement)/ Renal Transplant Total facilities of hospital. (Indoor and Outdoor)",31.03.2011,
144,Gurgaon,MEDANTA THE MEDICITY,"Ph: 0124-6767999, Fax: 0124-6767701,, Sector 38, Gurgaon, Haryana-122001, Ph:- 0124-4141414, FaX:-0124-4834111, E-mail:- info@medanta.org, MAX HOSPITALS (A UNIT OF MAX HEALTH C, INSTITUTE LIMITED)","0124-6767999,; 0124-6767701,; 0124-4141414,; 0124-4834111",info@medanta.org,"Orthopedics (Joint Replacement)/ Renal Transplant Total facilities of hospital. (Indoor and Outdoor) Modification on N.B. Payment to be made & on in favour of ""Global Health Private Limited"" ARE Acceptable for Orthopedic & Joint Replacement for",02.04.2011,"Gurgaon       Ph:- 0124-4141414, FaX:-0124-4834111               N.B. Payment to be made E-mail:- info@medanta.org                          in favour of ""Global Health"
145,Gurgaon,MAX HOSPITALS (A UNIT OF MAX HEALTH C,"E-mail:- info@medanta.org, INSTITUTE LIMITED), B-Block, Sushant Lok Phase-1, Gurgaon, Haryana,, Ph: 0124-6623000,       Fax: 0124-662, Paras Hospitals","0124-6623000,; 0124-6623111,",info@medanta.org,"& on in favour of ""Global Health Private Limited"" ARE Acceptable for Orthopedic & Joint Replacement for -122001, IPD services. N.B. - Payment to be made 3111, in favor of “Alps Hospitals Limited”",23.10.15,"E-mail:- info@medanta.org                          in favour of ""Global Health Haryana,                                           N.B. - Payment to be made Ph: 0124-6623000,       Fax: 0124-6623111,         in favor of “Alps Hospitals"
146,Gurgaon,"M/s. Park Hospital, South City-II, Sohna","Haryana,, Ph: 0124-6623000,       Fax: 0124-662, Paras Hospitals, C-1, Sushant Lok, Phase-1, Sector - 43,, Ph: 0124-4585555, Fax: 0124-4585572,, Email: info@parashospitals.com","0124-6623000,; 0124-6623111,; 0124-4585555,; 0124-4585572,                (",info@parashospitals.com,"N.B. - Payment to be made 3111, in favor of “Alps Hospitals Limited” Gurgaon Total facilities of hospital (OPD & Indoor) Road,",17.07.2012,"Haryana,                                           N.B. - Payment to be made Ph: 0124-6623000,       Fax: 0124-6623111,         in favor of “Alps Hospitals"
147,Gurgaon,"M/s. Park Hospital, South City-II, Sohna","Ph: 0124-4585555, Fax: 0124-4585572,, Email: info@parashospitals.com, Sec-47; Gurgaon-122002, Ph No. 0124 4900000 (hundred lines), Email : parkmedicenters@gmail.com, PushpanjaliHospital, (A Unit of Pushpanjali Medicare Pvt. Ltd","0124-4585555,; 0124-4585572,                (",info@parashospitals.com; parkmedicenters@gmail.com,"(OPD & Indoor) Road, Total facilities of the hospital (OPD & Indoor) .) Acceptable for Urology, Uro",23.12.2014,
148,Gurgaon,(A Unit of Pushpanjali Medicare Pvt. Ltd,"Ph No. 0124 4900000 (hundred lines), Email : parkmedicenters@gmail.com, PushpanjaliHospital, John Hall Road, Civil Lines, Gurgaon - 1, Ph: 0124-4770000, 2323052, 2327953,, Fax: 0124-2320050, 2328054,, E-mail: pushpanjalihospital@rediffmail.c, Centre for Sight - Gurugram,, (A unit of New Delhi Centre For Sight Lt","0124-4770000, 2323052, 2327953,; 0124-2320050, 2328054,",pushpanjalihospital@rediffmail.com; parkmedicenters@gmail.com,"hospital (OPD & Indoor) .) Acceptable for Urology, Uro 22001, Surgery, dialysis for indoor services only om d), Acceptable for",17.07.2012,
149,Gurgaon,Centre for Sight - Gurugram,"Ph: 0124-4770000, 2323052, 2327953,, Fax: 0124-2320050, 2328054,, E-mail: pushpanjalihospital@rediffmail.c, (A unit of New Delhi Centre For Sight Lt, 317, SCO Complex, Central Avenue, Sector, Gurugram, Haryana., PIN- 122009, Fortis Memorial Research Institute,, Sector-44, Gurugram-122002, Haryana, North East Cancer Hospital & Research In, (A Unit of North East Onco Care Ltd.), 1","0124-4770000, 2323052, 2327953,; 0124-2320050, 2328054,",pushpanjalihospital@rediffmail.com,"indoor services only om d), Acceptable for – 29, Ophthalmology Services Only (OPD & Indoor) Acceptable for, Cardiology n Cardiac Surgeries, Haematology and BMT, Orthopedic Joint Replacements & Oncology stitute 1th Mile,",19.04.2023,
151,Gurgaon,Fortis Memorial Research Institute,"Sector-44, Gurugram-122002, Haryana, North East Cancer Hospital & Research In, (A Unit of North East Onco Care Ltd.), 1, Amerigog, Jorabat, Guwahati 781023, Assa, Mob: +91-73994 78888/ 94357 07661, Email: nechrighy@yahoo.com, Arya Hospital (A Unit of North Eastern M, Research Institute Ltd.)",,nechrighy@yahoo.com,"Acceptable for, Cardiology n Cardiac Surgeries, Haematology and BMT, Orthopedic Joint Replacements & Oncology stitute 1th Mile, Total facilities of the m hospital (OPD & Indoor) edical",08.08.2024,
152,Guwahati,Arya Hospital (A Unit of North Eastern M,"Mob: +91-73994 78888/ 94357 07661, Email: nechrighy@yahoo.com, Research Institute Ltd.),, A. M. Road, Rehabari, Opp. Apsara Cinema, Guwahati – 781008., Tel. +91-361-2606665       FAX: +91-361-, Email: arya_guwa@yahoo.co.in, Narayana Superspeciality Hospital, Near Tolaram Bafna Medical College, Amin",+91-361-2606665; +91-361-2608262,nechrighy@yahoo.com; arya_guwa@yahoo.co.in,"hospital (OPD & Indoor) edical , Total facilities of the hospital (OPD & Indoor) 2608262 gaon,",06.06.2016,
153,Guwahati,Narayana Superspeciality Hospital,"Guwahati – 781008., Tel. +91-361-2606665       FAX: +91-361-, Email: arya_guwa@yahoo.co.in, Near Tolaram Bafna Medical College, Amin, Guwahati – 781031, Assam, Tel.: +91 361 2680321, Fax: +91 361 2680, Email: guwahati@nhhospitals.org, Sri Sankaradeva Nethralaya,, 96, Basistha Road,, Guwahati, Assam., PIN- 781028, ASG Eye Care, ASG Hospital Pvt. Ltd.","+91-361-2606665; +91-361-2608262; +91 361 2680321,; +91 361 2680322",guwahati@nhhospitals.org; arya_guwa@yahoo.co.in,"(OPD & Indoor) 2608262 gaon, Total facilities of the hospital (OPD & Indoor) 322 Acceptable for Ophthalmology Services Only (OPD & Indoor) Acceptable for",06.04.2017,
155,Guwahati,ASG Eye Care,"96, Basistha Road,, Guwahati, Assam., PIN- 781028, ASG Hospital Pvt. Ltd.,, Shubham Redstone, First Floor,, G.S. Road, Downtown, Near Pantaloons,, Guwahati, Assam., PIN- 781006, Swagat Super Speciality Surgical Institu, Mahapurush Damodardev Path, Maligaon Gat",,,"Acceptable for Ophthalmology Services Only (OPD & Indoor) Acceptable for Ophthalmology Services Only (OPD & Indoor) te & NH, e No.",19.04.2023,
156,Guwahati,Apollo Hospitals,"G.S. Road, Downtown, Near Pantaloons,, Guwahati, Assam., PIN- 781006, Swagat Super Speciality Surgical Institu, Mahapurush Damodardev Path, Maligaon Gat, 4,, Kamrup, Guwahati, Assam., PIN- 781011",,,"(OPD & Indoor) te & NH, e No. Total facilities of the hospital (OPD & Indoor Total facilities of hospital",19.04.2023,
157,Guwahati,Apollo Hospitals,"Kamrup, Guwahati, Assam., PIN- 781011, Guwahati, Lotus Tower, GS RoadAssam PIN : 781005, PH :0361-2800820, 0361-7135005, Apollo Excelcare Hospitals,, Paschim Boragaon , NH -37 Kamrup, Assam PIN : 781033, PH :0361-2800820,, 0361-7135005, Sanjivan Hospital,, Fuleswar, PO Sijberia; PS Uluberia","0361-2800820, 0361-7135005; 0361-2800820,",,(OPD & Indoor Total facilities of hospital (OPD & Indoor) Payment as per MoU. Total facilities of hospital (OPD & Indoor) Payment as per MoU.,08.10.2025,"Lotus Tower, GS RoadAssam PIN : 781005             Payment as per MoU. Assam PIN : 781033                                 Payment as per MoU."
159,Guwahati,Apollo Excelcare Hospitals,"Paschim Boragaon , NH -37 Kamrup, Assam PIN : 781033, PH :0361-2800820,, 0361-7135005, Sanjivan Hospital,, Fuleswar, PO Sijberia; PS Uluberia,, Dist. Howrah 711 316 (WB), Tel.No. 033 2661 2430;, E mail : info@sanjivanhospital.org., Narayana Multispeciality Hospital","0361-2800820,",info@sanjivanhospital.org,Total facilities of hospital (OPD & Indoor) Payment as per MoU. Total facilities of the hospital (OPD & Indoor),08.10.2025,Assam PIN : 781033                                 Payment as per MoU.
160,Howrah,Narayana Multispeciality Hospital,"Tel.No. 033 2661 2430;, E mail : info@sanjivanhospital.org., Chunavati, Andul Road, Howrah 711109, Fax: 033-2644 8176, Email: nmh.howrah@nhhospitals.org, Narayana Superspeciality Hospital",033-2644 8176                                   (,nmh.howrah@nhhospitals.org; info@sanjivanhospital.org,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),23.10.2015,
161,Howrah,Narayana Superspeciality Hospital,"Fax: 033-2644 8176, Email: nmh.howrah@nhhospitals.org, 120/1, Andul Road, Howrah 711103, Fax: 033-7120 5120, Email: nsh.howrah@nhhospitals.org, GLOBAL HOSPITALS",033-2644 8176                                   (; 033-7120 5120                                   (,nmh.howrah@nhhospitals.org; nsh.howrah@nhhospitals.org,(OPD & Indoor) Total facilities of the hospital (OPD & Indoor),23.10.2015,
162,Hyderabad,GLOBAL HOSPITALS,"Fax: 033-7120 5120, Email: nsh.howrah@nhhospitals.org, 6-1-1040/1 to 4, Lakdi-ka-pool, Hyderab, Tel:040-23244444(ten lines), Fax: 040-2",033-7120 5120                                   (; 040-23244444(; 040-23244455,nsh.howrah@nhhospitals.org,(OPD & Indoor) Total facilities of hospital ad-500004 (OPD & Indoor) 3244455,06.04.2011,
163,Hyderabad,GLOBAL HOSPITALS,"Tel:040-23244444(ten lines), Fax: 040-2, Sagar Road, LB Nagar, Hyderabad-500035,, Ph:-: 040-24030444, 24111111, FaX:-2403, E-mail:- info@globalhospital.net, ASIAN INSTITUTE OF GASTROENTEROLOGY",040-23244444(; 040-23244455; 24032366        (,info@globalhospital.net,"(OPD & Indoor) 3244455 AP, Total facilities of hospital 2366 (OPD & Indoor)",06.04.2011,
164,Hyderabad,ASIAN INSTITUTE OF GASTROENTEROLOGY,"Ph:-: 040-24030444, 24111111, FaX:-2403, E-mail:- info@globalhospital.net, 6-3-661, Somajiguda, Hyderabad-500082, Ph:0402337-8888, Fax:040-23324255,, Email: aigindia@yahoo.co.in, MEDICITY HOSPITALS","24032366        (; 0402337-8888,; 040-23324255,                 (",aigindia@yahoo.co.in; info@globalhospital.net,2366 (OPD & Indoor) Total facilities of hospital (OPD & Indoor),01.03.2012,
165,Hyderabad,MEDICITY HOSPITALS,"Ph:0402337-8888, Fax:040-23324255,, Email: aigindia@yahoo.co.in, 5-9-22, Secretariat Road, Hyderabad-500, Tel: 040-23231111, Fax: 040-23231631,, E-Mail: info@medicityhospitals.com,, BASAVATARAKAM INDO AMERICAN CANCER, HOSPITAL & RESEARCH INSTITUTE, Road No 14, Banjara Hills, Hyderabad-50","0402337-8888,; 040-23324255,                 (; 040-23231111,; 040-23231631,              (",info@medicityhospitals.com; aigindia@yahoo.co.in,"(OPD & Indoor) 063 Total facilities of hospital (OPD & Indoor) 0034, AP",01.03.2012,
166,Hyderabad,BASAVATARAKAM INDO AMERICAN CANCER,"Tel: 040-23231111, Fax: 040-23231631,, E-Mail: info@medicityhospitals.com,, HOSPITAL & RESEARCH INSTITUTE, Road No 14, Banjara Hills, Hyderabad-50, Tel:040-23551235/23552766/23607944,, Fax: 040-23542120,, E-Mail: info@induscancer.com, MEDWINHOSPITALS, # 100, RaghavaRatnaTowers, Chirag Ali L","040-23231111,; 040-23231631,              (; 040-23551235/23552766/23607944,; 040-23542120,                                 (",info@medicityhospitals.com; info@induscancer.com,"(OPD & Indoor) 0034, AP Total facilities of hospital (OPD & Indoor) ane,",01.03.2012,
167,Hyderabad,(UNIT OF IMAGE HEALTH CARE LTD.),"Fax: 040-23542120,, E-Mail: info@induscancer.com, MEDWINHOSPITALS, # 100, RaghavaRatnaTowers, Chirag Ali L, Nampally, Hyderabad-500001,, Tel:040-23206666, 66633333, 23202902 (1, Fax: 040-23201120,, E-Mail: medwinhospitals@yahoo.co.in, IMAGE HOSPITALS","040-23542120,                                 (; 040-23206666, 66633333, 23202902 (14; 040-23201120,",info@induscancer.com; medwinhospitals@yahoo.co.in,"(OPD & Indoor) ane, Total facilities of hospital 4 Lines), (OPD & Indoor) Total facilities of hospital",02.04.2011,
168,Hyderabad,(UNIT OF IMAGE HEALTH CARE LTD.),"Tel:040-23206666, 66633333, 23202902 (1, Fax: 040-23201120,, E-Mail: medwinhospitals@yahoo.co.in, IMAGE HOSPITALS, D No-8-3-903/F, 12&13 ""IMAGE HOUSE"", Ameerpet, Hyderabad-500073,, Ph: 040-23750000/44660000, Fax: 040-237, E-Mail: ameerpet@imagehospitals.com, MAHAVIR HOSPITAL & RESEARCH CENTRE","040-23206666, 66633333, 23202902 (14; 040-23201120,; 040-23750000/44660000,; 040-23746616,",ameerpet@imagehospitals.com; medwinhospitals@yahoo.co.in,"4 Lines), (OPD & Indoor) Total facilities of hospital N.B. – Payment to be made in favor of “IMAGE HEALTH 46616, CARE LIMITED”.",02.04.2011,"168.               D No-8-3-903/F, 12&13 ""IMAGE HOUSE""                N.B. – Payment to be made in"
169,Hyderabad,MAHAVIR HOSPITAL & RESEARCH CENTRE,"Ph: 040-23750000/44660000, Fax: 040-237, E-Mail: ameerpet@imagehospitals.com, #10-1-1, Bhagwan Mahavir Marg, A.C. Gua, Hyderabad-500004,, Ph:- 23497300,23497399, CARE HOSPITAL, 1. H. No.-6-3-248/2, Road No.1,, Banjara Hills, Hyderabad-500034,, Tel:040-30418888, 23234444, Fax: 040304, CARE HOSPITAL","040-23750000/44660000,; 040-23746616,; 23497300,23497399; 040-30418888, 23234444,; 04030418488",ameerpet@imagehospitals.com,"favor of “IMAGE HEALTH 46616, CARE LIMITED”. rds, Total facilities of hospital (OPD & Indoor) Total facilities of hospital (OPD & Indoor) 18488",04.04.2011,
171,Hyderabad,CARE HOSPITAL,"1. H. No.-6-3-248/2, Road No.1,, Banjara Hills, Hyderabad-500034,, Tel:040-30418888, 23234444, Fax: 040304, 2. H. No.-5-4-199, Exhibition Grounds R, Nampally, Hyderabad-500001, Star Hospitals,, Survey No 74, Nanakramguda Circle, Fina","040-30418888, 23234444,; 04030418488",,"Total facilities of hospital (OPD & Indoor) 18488 Total facilities of hospital oad, (OPD & Indoor) ncial",06.04.2011,
172,Hyderabad,Yashoda Healthcare Services Pvt. Ltd.,"Nampally, Hyderabad-500001, Star Hospitals,, Survey No 74, Nanakramguda Circle, Fina, District, Serlingampally Mandal. RR Dis, Hydrabad-500008, Raj Bhavan Road, Somajiguda, Hyderabad-",,,"(OPD & Indoor) ncial t, Total facilities of hospital (OPD & Indoor) 500082 Total facilities of hospital",16.07.2025,
173,Hyderabad,Yashoda Healthcare Services Pvt. Ltd.,"Hydrabad-500008, Raj Bhavan Road, Somajiguda, Hyderabad-, Ph:-040-23319999, Fax:-040-23312783, E-mail:- ccd.smj@yashodahospitals.com","040-23319999,; 040-23312783",ccd.smj@yashodahospitals.com,(OPD & Indoor) 500082 Total facilities of hospital (OPD & Indoor) Modified on,06.04.2011,
174,Hyderabad,Yashoda Healthcare Services Pvt. Ltd.,"E-mail:- ccd.smj@yashodahospitals.com, Nalgonda ‘X’ Road, Malakpet, Hyderabad-, Ph:-040-24555555, Fax:-040-24545690, E-mail:- ccd.smj@yashodahospitals.com, MEDIVISION EYE & HEALTH CARE CENTRE, 10-3-304/F/1 To 4 Indira Sadan","040-24555555,; 040-24545690                  (",ccd.smj@yashodahospitals.com,500032 Total facilities of hospital Modified on (OPD & Indoor),16.07.2025,
175,Hyderabad,MEDIVISION EYE & HEALTH CARE CENTRE,"Ph:-040-24555555, Fax:-040-24545690, E-mail:- ccd.smj@yashodahospitals.com, 10-3-304/F/1 To 4 Indira Sadan,, Near NMDC, Humayun Nagar Main Road,, Hyderabad-500028., Ph: 040-66828292, 66752699, 23530940,, 66368292 Fax: 040-66258292, Omega Hospitals, MLA Colony Main Road, Road No.12, Banja","040-24555555,; 040-24545690                  (; 040-66828292, 66752699, 23530940,; 040-66258292",ccd.smj@yashodahospitals.com,"(OPD & Indoor) SINGLE SPECIALTY FOR EYE CARE SERVICES ra Hills,",16.07.2025,
176,Hyderabad,"Ltd.), 8-2-596/5. Road no: 10, Banjara","Hyderabad-500028., Ph: 040-66828292, 66752699, 23530940,, 66368292 Fax: 040-66258292, Omega Hospitals, MLA Colony Main Road, Road No.12, Banja, Hyderabad-34(AP), Ph.040-23551034, Fax-040-23550327, Email.info@omegahospitals.com, Star Hospitals, (A Unit of Unimed Healt, Hyderabad- 500034, Ph:- 040-44777777, Fax:- 040-23356788, Prime Hospitals (A Unit of Sri Sainatha, Speciality Hospital Pvt. Ltd.)","040-66828292, 66752699, 23530940,; 040-66258292; 040-23551034,; 040-23550327; 040-44777777,; 040-23356788",Email.info@omegahospitals.com,"CARE SERVICES ra Hills, Single specialty for cancer 9.11.2012 h Care Pvt. hills, Total facilities of hospital (OPD & Indoor) Multi Total facilities of hospital",18.06.2014,
178,Hyderabad,"Ltd.), 8-2-596/5. Road no: 10, Banjara","Star Hospitals, (A Unit of Unimed Healt, Hyderabad- 500034, Ph:- 040-44777777, Fax:- 040-23356788, Prime Hospitals (A Unit of Sri Sainatha, Speciality Hospital Pvt. Ltd.), Plot No.4, Behind Mythrivanam Building,, Ameerpet, Hyderabad- 500038, Ph:- 040-4456 9999, Fax:- 040-2375 5152, E mail: contact@primehospitals.co.in, Continental Hospitals (A Gleneagles Fac, Plot No. 03, Road No. 2, IT & Financial, Nanakramguda, Gachibowli, Hyderabad- 50","040-44777777,; 040-23356788; 040-4456 9999,; 040-2375 5152",contact@primehospitals.co.in,"h Care Pvt. hills, Total facilities of hospital (OPD & Indoor) Multi Total facilities of hospital (OPD & Indoor) ility) District, 0032",18.06.2014,
179,Hyderabad,Healthcare Pvt. Ltd.),"Ameerpet, Hyderabad- 500038, Ph:- 040-4456 9999, Fax:- 040-2375 5152, E mail: contact@primehospitals.co.in, Continental Hospitals (A Gleneagles Fac, Plot No. 03, Road No. 2, IT & Financial, Nanakramguda, Gachibowli, Hyderabad- 50, Ph:- 040-6700 0000/ +91-9948903444, Fax:- 040-6722 5299, E mail: info@continentalhospitals.com,, bsuresh@continentalhospitals.com, Medicover Hospitals (A Unit of Sahruday, Behind Cyber Towers, Lane next to Mcdon","040-4456 9999,; 040-2375 5152; 040-6700 0000/ +91-9948903444                                                      06; 040-6722 5299",info@continentalhospitals.com; contact@primehospitals.co.in; bsuresh@continentalhospitals.com,"ility) District, 0032 Total facilities of the hospital (OPD & Indoor) a ald’s,",06.10.2016,
180,Hyderabad,Healthcare Pvt. Ltd.),"Fax:- 040-6722 5299, E mail: info@continentalhospitals.com,, bsuresh@continentalhospitals.com, Medicover Hospitals (A Unit of Sahruday, Behind Cyber Towers, Lane next to Mcdon, Hitech City, Madhapur, Hyderabad – 5000, Ph.: 040-45404540/ +91-9948088400,, Fax: 040-29808000, Email: Sahrudaya14ssi@gmail.com, info@maxcurehospitals.com, Virinchi Hospitals ( A unit of Virinchi, Pvt. Ltd.), Door. No. 6-3-2, 6-3-3/1, Virinchi Circ","040-6722 5299; 040-45404540/ +91-9948088400,                   (; 040-29808000",info@maxcurehospitals.com; Sahrudaya14ssi@gmail.com; info@continentalhospitals.com; bsuresh@continentalhospitals.com,"(OPD & Indoor) a ald’s, 81. Total facilities of the hospital Modified on (OPD & Indoor) Healthcare le, Road # 1",06.08.2017,
181,Hyderabad,Pvt. Ltd.),"Fax: 040-29808000, Email: Sahrudaya14ssi@gmail.com, info@maxcurehospitals.com, Virinchi Hospitals ( A unit of Virinchi, Door. No. 6-3-2, 6-3-3/1, Virinchi Circ, Banjara Hills, Hyderabad-500034, Ph.: 04046999999, Fax.: 040-46999900, Email: contact_us@virinchihospitals.com, Ajay.fouzdar@virinchi.com, TX Hospitals, 3-2-848/1, Station Road,, Kachiguda, Hyderabad","040-29808000; 04046999999,; 040-46999900",info@maxcurehospitals.com; contact_us@virinchihospitals.com; Ajay.fouzdar@virinchi.com; Sahrudaya14ssi@gmail.com,"Healthcare le, Road # 1 Total facilities of the hospital (OPD & Indoor)",12.09.2019,
182,Hyderabad,"Ph.: 04046999999, Fax.: 040-46999900","Email: contact_us@virinchihospitals.com, Ajay.fouzdar@virinchi.com, TX Hospitals, 3-2-848/1, Station Road,, Kachiguda, Hyderabad,, Telangana, 500027, Omega Hospitals,, S.Y. No. 18P, Seven Hills Colony, Road","04046999999,; 040-46999900",contact_us@virinchihospitals.com; Ajay.fouzdar@virinchi.com,"(OPD & Indoor) Total facilities of the hospital (OPD & Indoor) No. 1,",24.11.2022,
183,Hyderabad,"Apollo Hospitals, Jubilee Hills","Omega Hospitals,, S.Y. No. 18P, Seven Hills Colony, Road, Gachibowli, Hyderabad-500032, Telangana",,,"(OPD & Indoor) No. 1, Total facilities of hospital (OPD & Indoor) Total facilities of hospital",08.08.2024,
184,Hyderabad,"Apollo Hospitals, Jubilee Hills","Hyderabad-500032, Telangana, Telangana PIN : 500033, PH :040-23607777, Apollo Hospitals, 3-5-874/1, Near Old M",040-23607777,,(OPD & Indoor) Total facilities of hospital (OPD & Indoor) Payment as per MoU. LA Total facilities of hospital,08.10.2025,PH :040-23607777                                      Payment as per MoU.
185,Hyderabad,"Apollo Hospitals, 3-5-874/1, Near Old M","Quarters, Telangana PIN : 500029, PH :040-23231380, Apollo Hospitals",040-23231380,,LA Total facilities of hospital (OPD & Indoor) Payment as per MoU. Total facilities of hospital,08.10.2025,Telangana PIN : 500029                                Payment as per MoU.
186,Hyderabad,PH :040-23231380,"Apollo Hospitals,, DMRL X Roads, Kanchanbagh DRDO, Telangana PIN : 500058PH :040-24342222, Renova Century Hospital ( A Unit of Bha, Healthcare Services Private Limited), H",040-23231380; 040-24342222,,Total facilities of hospital (OPD & Indoor) Payment as per MoU. rgavi Total facilities of hospital .No. 8-2- (OPD & Indoor),08.10.2025,Telangana PIN : 500058PH :040-24342222                Payment as per MoU.
187,Hyderabad,Renova Century Hospital ( A Unit of Bha,"Healthcare Services Private Limited), H, 703, Road No.12, Banjara Hills, Hyderab, Telangana State-500034, Sri Aurobindo Institute of Medical Scie, Indore-Ujjain State Highway, Near MR-10",,,"rgavi Total facilities of hospital .No. 8-2- (OPD & Indoor) ad, nce, Crossing,",08.10.2025,
188,Indore,Sri Aurobindo Institute of Medical Scie,"Indore-Ujjain State Highway, Near MR-10, Sanwer Road, Indore (MP)-453555, Ph No. 0731 4231 000, Fax No. 0731 4231, E mail : response@saimsonline.com, Greater Kailash Hospitals Pvt.Ltd.,, 11/2, Old Palasia, Greater Kailash Road",,response@saimsonline.com,"nce, Crossing, Total facilities of the hospital (OPD & Indoor) 010-12 ,",23.12.2014,
