sr_no,category,procedure_name,non_nabh_rate,nabh_rate,notes
397,OESOPHAGUS,Oesophageal Intubation (Mausseau Barbin Tube),11500.0,13225.0,
398,OESOPHAGUS,Achalasia Cardia Transthoracic,14950.0,17193.0,
399,OESOPHAGUS,Achalasia Cardia Abdominal,12650.0,14548.0,
400,OESOPHAGUS,Oesophago Gastrectomy for mid 1/3 lesion,24495.0,28169.0,
401,OESOPHAGUS,Heller’s Operation,19750.0,22713.0,
402,OESOPHAGUS,Colon-Inter position or Replacement of Oesophagus,22540.0,25921.0,
404,OESOPHAGUS,Other Major Surgery-Oesophagus,27625.0,31769.0,
405,OESOPHAGUS,Other Minor Surgery-Oesophagus,5000.0,5750.0,
406,OESOPHAGUS,Gastroscopy,1725.0,1984.0,
407,OESOPHAGUS,Gastric & Duodenal Biopsy (Endoscopic),1950.0,2243.0,
408,OESOPHAGUS,Pyloromyotomy,2800.0,3220.0,
409,OESOPHAGUS,Gastrostomy,8625.0,9919.0,
410,OESOPHAGUS,Simple Closure of Perforated peptic Ulcer,9775.0,11241.0,
411,OESOPHAGUS,Vagotomy Pyleroplasty / Gastro Jejunostomy,13800.0,15870.0,
412,OESOPHAGUS,Duodenojejunostomy,18950.0,21793.0,
413,OESOPHAGUS,Partial/Subtotal Gastrectomy for Carcinoma,23000.0,26450.0,
414,OESOPHAGUS,Partial/Subtotal Gastrectomy for Ulcer,22425.0,25789.0,
415,OESOPHAGUS,Operation for Bleeding Peptic Ulcer,20976.0,24122.0,
416,OESOPHAGUS,Operation for Gastrojejunal Ulcer,19780.0,22747.0,
417,OESOPHAGUS,Total Gastrectomy for Cancer,22368.0,25723.0,
418,OESOPHAGUS,Highly Selective Vagotomy,18630.0,21425.0,
419,OESOPHAGUS,Selective Vagotomy & Drainage,18630.0,21425.0,
420,OESOPHAGUS,Congenital Diaphragmatic Hernia,34000.0,40000.0,
421,OESOPHAGUS,Hiatus Hernia Repair- Abdominal,28050.0,33000.0,
422,OESOPHAGUS,Hiatus Hernia Repair- Transthoracic,28050.0,33000.0,
423,OESOPHAGUS,Exploratory Laparotomy (open),21250.0,25000.0,
424,OESOPHAGUS,Epigastric Hernia Repair,21250.0,25000.0,
425,OESOPHAGUS,Umbilical Hernia Repair,11385.0,13093.0,
426,OESOPHAGUS,Ventral /incisional Hernia Repair,10293.0,11837.0,
427,OESOPHAGUS,Inguinal Hernia Herniorrhaphy,22100.0,26000.0,
428,OESOPHAGUS,Inguinal Hernia - Hernioplasty,27200.0,32000.0,
429,OESOPHAGUS,Femoral Hernia Repair,27200.0,32000.0,
431,OESOPHAGUS,Splenectomy - For Trauma,18975.0,21821.0,
432,OESOPHAGUS,Splenectomy - For Hypersplenism,14490.0,16664.0,
433,OESOPHAGUS,Splenorenal Anastomosis,23000.0,26450.0,
434,OESOPHAGUS,Portocaval Anastomosis,28750.0,33063.0,
436,OESOPHAGUS,Mesentericocaval Anastomosis,25450.0,29268.0,
437,OESOPHAGUS,Warren Shunt (Distal Splenorenal Shunt),28750.0,33063.0,
438,OESOPHAGUS,Pancreatico Duodenectomy (Whipple's procedure),21735.0,24995.0,
440,OESOPHAGUS,Cystojejunostomy or Cystogastrostomy,14490.0,16664.0,
441,OESOPHAGUS,Cholecystectomy,20400.0,24000.0,
442,OESOPHAGUS,Cholecystectomy & Exploration of CBD,28050.0,33000.0,
443,OESOPHAGUS,Repair of Common Bile Duct (CBD),13600.0,15640.0,
444,OESOPHAGUS,Operation for Hydatid Cyst of Liver,22950.0,27000.0,
445,OESOPHAGUS,Cholecystostomy,10292.0,11836.0,
446,OESOPHAGUS,Hepatic Resections (Lobectomy /Hepatectomy),28050.0,33000.0,
447,OESOPHAGUS,Operation on Adrenal Glands - Bilateral,26105.0,30021.0,
448,OESOPHAGUS,Operation on Adrenal Glands - Unilateral,13800.0,15870.0,
449,OESOPHAGUS,Appendicectomy,16150.0,19000.0,
450,OESOPHAGUS,Appendicular Abscess – Drainage,9775.0,11241.0,
451,OESOPHAGUS,Mesenteric Cyst- Excision,11040.0,12696.0,
452,OESOPHAGUS,Peritonioscopy/Laparoscopy,4600.0,5290.0,
453,OESOPHAGUS,Jejunostomy,5750.0,6613.0,
454,OESOPHAGUS,Ileostomy,15410.0,17722.0,
456,OESOPHAGUS,Duodenal Diverticulum,18400.0,21160.0,
457,OESOPHAGUS,Operation for Intestinal Obstruction,10350.0,11903.0,
458,OESOPHAGUS,Operation for Intestinal perforation,42350.0,48703.0,
459,OESOPHAGUS,Benign Tumours of Small Intestine,19550.0,22483.0,
460,OESOPHAGUS,Excision of Small Intestine Fistula,38250.0,45000.0,
461,OESOPHAGUS,Operations for GI Bleed,16000.0,18400.0,
465,OESOPHAGUS,Ileosigmoidostomy and related resection,16790.0,19309.0,
466,OESOPHAGUS,Ileotransverse Colostomy and related resection,16790.0,19309.0,
467,OESOPHAGUS,Caecostomy,3903.0,4488.0,
468,OESOPHAGUS,Loop Colostomy Transverse Sigmoid,13110.0,15077.0,
469,OESOPHAGUS,Terminal Colostomy,25500.0,30000.0,
470,OESOPHAGUS,Closure of Colostomy,25500.0,30000.0,
471,OESOPHAGUS,Right Hemicolectomy,27200.0,32000.0,
472,OESOPHAGUS,Left Hemicolectomy,27200.0,32000.0,
473,OESOPHAGUS,Total Colectomy,34000.0,40000.0,
474,OESOPHAGUS,Operations for Volvulus of Large Bowel,24920.0,28658.0,
475,OESOPHAGUS,Operations for Sigmoid Diverticulitis,18630.0,21425.0,
464,OESOPHAGUS,(Noble Plication & Other Operations for Adhesions),463.0,476.0,
477,OESOPHAGUS,Fissure in Ano - Fissurectomy,,,
478,OESOPHAGUS,Rectal Polyp-Excision,11645.0,13700.0,
479,OESOPHAGUS,Fistula in Ano - High Fistulectomy,29750.0,35000.0,
480,OESOPHAGUS,Fistula in Ano - Low Fistulectomy,19550.0,23000.0,
481,OESOPHAGUS,Prolapse Rectum - Thiersch Wiring,10350.0,11903.0,
482,OESOPHAGUS,Prolapse Rectum - Rectopexy,11900.0,14000.0,
483,OESOPHAGUS,Prolapse Rectum - Grahams Operation Deleted Deleted,,,
484,OESOPHAGUS,Operations for Hirschsprungs Disease,14260.0,16399.0,
485,OESOPHAGUS,Excision of Pilonidal Sinus (open),18700.0,22000.0,
486,OESOPHAGUS,Excision of Pilonidal Sinus with closure,21250.0,25000.0,
487,OESOPHAGUS,Abdomino-Perineal Excision of Rectum,18300.0,21045.0,
488,OESOPHAGUS,Anterior Resection of rectum,21850.0,25128.0,
489,OESOPHAGUS,Pull Through Abdominal Resection,17170.0,19746.0,
490,OESOPHAGUS,Retro Peritoneal Tumor Removal,18000.0,20700.0,
491,OESOPHAGUS,Radio ablation of varicose veins (RFA Ablation),7225.0,8500.0,
492,OESOPHAGUS,Laser ablation of varicose veins,34000.0,40000.0,
493,OESOPHAGUS,Laparoscopic Fundoplication,19300.0,22195.0,
494,OESOPHAGUS,Laparoscopic Splenectomy,25000.0,28750.0,
495,OESOPHAGUS,Laparoscopic Removal of hydatid cyst,18000.0,20700.0,
496,OESOPHAGUS,Laparoscopic treatment of Pseudo Pancreatic cyst,18000.0,20700.0,
498,OESOPHAGUS,Laparoscopic GI bypass operation,22000.0,25300.0,
499,OESOPHAGUS,Laparoscopic Total Colectomy,25000.0,28750.0,
500,OESOPHAGUS,Laparoscopic Hemicolectomy,23000.0,26450.0,
502,OESOPHAGUS,Laparoscopic Cholecystetomy,,,
503,OESOPHAGUS,Laparoscopic Appedicectomy,25500.0,30000.0,
504,OESOPHAGUS,Laparoscopic Hernia inguinal repair,29750.0,35000.0,
505,OESOPHAGUS,Laparoscopic ventral Hernia Repair,17500.0,20125.0,
506,OESOPHAGUS,Laparoscopic Paraumblical Hernia Repair,17500.0,20125.0,
507,OESOPHAGUS,Laparoscopic Adrenelectomy,12000.0,13800.0,
508,OESOPHAGUS,Laparoscopic Nephrectomy,22000.0,25300.0,
509,OESOPHAGUS,Other Major Surgery-Abdomen/GI Surgery Deleted Deleted,,,
510,OESOPHAGUS,Other Minor Surgery-Abdomen/GI Surgery Deleted Deleted,,,
511,SPECIAL CARE,ICU Charges (Inclusive of Room Rent),4590.0,5400.0,
512,SPECIAL CARE,Compressed air / piped oxygen /per hour,50.0,58.0,
513,SPECIAL CARE,Ventilator charges (Per day),531.0,611.0,
514,SPECIAL CARE,Paediatric care for New born (Per day),186.0,214.0,
515,SPECIAL CARE,Incubator charges (Per day),345.0,397.0,
516,SPECIAL CARE,Neonatal ICU charges (Per day),391.0,450.0,
517,SPECIAL CARE,Resuscitation,184.0,212.0,
518,SPECIAL CARE,Exchange Transfusion,265.0,305.0,
519,SPECIAL CARE,Pneupack ventilator in Nursery (Per day),575.0,661.0,
520,SPECIAL CARE,Atrial Septal Defect(ASD) closure,51808.0,59579.0,
521,SPECIAL CARE,Ventricular septal defect (VSD) with graft,51808.0,59579.0,
523,CARDIOVASCULAR & CARDIAC SURGERY,BD Glenn/Left atrium myxoma,524.0,524.0,
525,CARDIOVASCULAR & CARDIAC SURGERY,Double Switch Operation (DSO) For all catagories of ward entilement,,,
526,CARDIOVASCULAR & CARDIAC SURGERY,Atrioventricular(AV) canal repair,161000.0,185150.0,
527,CARDIOVASCULAR & CARDIAC SURGERY,Fontan procedure,169000.0,194350.0,
528,CARDIOVASCULAR & CARDIAC SURGERY,Conduit repair,169000.0,194350.0,
529,CARDIOVASCULAR & CARDIAC SURGERY,Coronary Artery Bypass Graft surgery (CABG),127075.0,146136.0,
530,CARDIOVASCULAR & CARDIAC SURGERY,Coronary Artery Bypass Graft surgery (CABG) + Intra-Aortic Balloon Pump (IABP),169000.0,194350.0,
531,CARDIOVASCULAR & CARDIAC SURGERY,Coronary Artery Bypass Graft surgery (CABG) + Valve,169000.0,194350.0,
532,CARDIOVASCULAR & CARDIAC SURGERY,CABG without bypass.,140000.0,161000.0,
533,CARDIOVASCULAR & CARDIAC SURGERY,Ascending aorta replacement,130000.0,149500.0,
534,CARDIOVASCULAR & CARDIAC SURGERY,Double Valve Replacement (DVR),155422.0,178735.0,
535,CARDIOVASCULAR & CARDIAC SURGERY,Mitral valve Replacement(MVR)/ Aortic valve Replacement(AVR),119157.0,137031.0,
536,CARDIOVASCULAR & CARDIAC SURGERY,Mitral valve (MV) Repair + Aortic valve (AV) Repair,103615.0,119157.0,
537,CARDIOVASCULAR & CARDIAC SURGERY,Aorta femoral bypass,52000.0,59800.0,
538,CARDIOVASCULAR & CARDIAC SURGERY,Blalock-Taussig shunt (BT Shunt) / Coarctation,51980.0,59777.0,
542,CARDIOVASCULAR & CARDIAC SURGERY,Gunshot injury,51980.0,59777.0,
543,CARDIOVASCULAR & CARDIAC SURGERY,Heart transplant,276000.0,317400.0,
544,CARDIOVASCULAR & CARDIAC SURGERY,Balloon coronary angioplasty/PTCA with VCD,78200.0,92000.0,
545,CARDIOVASCULAR & CARDIAC SURGERY,Balloon coronary angioplasty/PTCA without VCD,71150.0,83725.0,
546,CARDIOVASCULAR & CARDIAC SURGERY,Rotablation,47775.0,56206.0,
548,CARDIOVASCULAR & CARDIAC SURGERY,Cardiac Catheterization (CATH),11510.0,13545.0,
549,CARDIOVASCULAR & CARDIAC SURGERY,Aortic Arch Replacement,10350.0,11903.0,
550,CARDIOVASCULAR & CARDIAC SURGERY,Aortic Dissection,12650.0,14548.0,
540,CARDIOVASCULAR & CARDIAC SURGERY,Pericardectomy,541.0,547.0,
551,CARDIOVASCULAR & CARDIAC SURGERY,Thoraco Abdominal Aneurism Repair,15000.0,17250.0,
552,CARDIOVASCULAR & CARDIAC SURGERY,Embolectomy,21000.0,24150.0,
553,CARDIOVASCULAR & CARDIAC SURGERY,Vascular Repair,36000.0,41400.0,
554,CARDIOVASCULAR & CARDIAC SURGERY,Bentall Repair with Prosthetic Valve,30000.0,34500.0,
555,CARDIOVASCULAR & CARDIAC SURGERY,Bentall Repair with Biologic Valve,127500.0,146625.0,
556,CARDIOVASCULAR & CARDIAC SURGERY,Coaractation dilatation,60860.0,71600.0,
557,CARDIOVASCULAR & CARDIAC SURGERY,Coaractation dilatation with Stenting,18500.0,21275.0,
558,CARDIOVASCULAR & CARDIAC SURGERY,Temporary cardiac pacing (TPI) Single Chamber,16320.0,19200.0,
559,CARDIOVASCULAR & CARDIAC SURGERY,Temporary cardiac pacing (TPI) Dual Chamber,8160.0,9384.0,
561,CARDIOVASCULAR & CARDIAC SURGERY,Permanent pacemaker implantation- Dual Chamber,36550.0,43000.0,
562,CARDIOVASCULAR & CARDIAC SURGERY,Permanent pacemaker implantation (PPI)Biventricular,42180.0,49625.0,
563,CARDIOVASCULAR & CARDIAC SURGERY,Automatic implantable cardioverter defibrillator (AICD) Single Chamber,42500.0,50000.0,
564,CARDIOVASCULAR & CARDIAC SURGERY,Automatic implantable cardioverter defibrillator (AICD) Dual Chamber,44500.0,52350.0,
1500,CARDIOVASCULAR & CARDIAC SURGERY,firtst day and 1000 for subsequent days,,,
1500,CARDIOVASCULAR & CARDIAC SURGERY,firtst day and 1000 for subsequent days,81600.0,96000.0,
573,CARDIOVASCULAR & CARDIAC SURGERY,Intra vascular coils,63750.0,75000.0,
574,CARDIOVASCULAR & CARDIAC SURGERY,Septostomy- Balloon,25500.0,30000.0,
565,CARDIOVASCULAR & CARDIAC SURGERY,Combo device implantation,566.0,566.0,
567,CARDIOVASCULAR & CARDIAC SURGERY,Ambulatory BP monitoring External Loop/event recording (maximum upto 7,568.0,568.0,
569,CARDIOVASCULAR & CARDIAC SURGERY,Radiofrequency (RF) ablation conventional,570.0,570.0,
571,CARDIOVASCULAR & CARDIAC SURGERY,Endomyocardial biopsy,572.0,572.0,
575,CARDIOVASCULAR & CARDIAC SURGERY,Septostomy- Blade,19550.0,22483.0,
577,CARDIOVASCULAR & CARDIAC SURGERY,Digital subtraction angiography-Peripheral artery,12400.0,14610.0,
578,CARDIOVASCULAR & CARDIAC SURGERY,Digital subtraction angiography- venogram,12400.0,14610.0,
579,CARDIOVASCULAR & CARDIAC SURGERY,CT Guided biopsy,1265.0,1455.0,
580,CARDIOVASCULAR & CARDIAC SURGERY,Sinogram,863.0,992.0,
581,CARDIOVASCULAR & CARDIAC SURGERY,Peripheral Angioplasty with VCD,46750.0,55500.0,
582,CARDIOVASCULAR & CARDIAC SURGERY,Peripheral Angioplasty without VCD,11500.0,13225.0,
583,CARDIOVASCULAR & CARDIAC SURGERY,Renal Angioplasty,46750.0,55000.0,
584,CARDIOVASCULAR & CARDIAC SURGERY,Intravascular ultrasound (IVUS),50000.0,50000.0,
585,CARDIOVASCULAR & CARDIAC SURGERY,Fractional flow reserve (FFR),5000.0,5750.0,
586,CARDIOVASCULAR & CARDIAC SURGERY,Holter analysis,2125.0,2500.0,
587,CARDIOVASCULAR & CARDIAC SURGERY,Aortic stent grafting for aortic aneurysm,78500.0,90275.0,
590,CARDIOVASCULAR & CARDIAC SURGERY,Electrocardiogram (ECG),150.0,175.0,
591,CARDIOVASCULAR & CARDIAC SURGERY,Head--up tilt test (HUTT),3400.0,4000.0,
592,CARDIOVASCULAR & CARDIAC SURGERY,2D echocardiography,1255.0,1475.0,
593,CARDIOVASCULAR & CARDIAC SURGERY,3D echocardiography,1403.0,1613.0,
594,CARDIOVASCULAR & CARDIAC SURGERY,Fetal Echo,1360.0,1600.0,
595,CARDIOVASCULAR & CARDIAC SURGERY,2D Transesophageal Echocardiography (TEE),1403.0,1613.0,
596,CARDIOVASCULAR & CARDIAC SURGERY,3D Transesophageal Echocardiography (TEE),1403.0,1613.0,
597,CARDIOVASCULAR & CARDIAC SURGERY,Stress Echo- exercise,2040.0,2400.0,
598,CARDIOVASCULAR & CARDIAC SURGERY,Stress Echo- pharmacological (D Stess Echo),2550.0,3000.0,
589,CARDIOVASCULAR & CARDIAC SURGERY,ASD/VSD/PDA device closure,599.0,599.0,
601,CARDIOVASCULAR & CARDIAC SURGERY,Coronary angiography,11240.0,13225.0,
602,CARDIOVASCULAR & CARDIAC SURGERY,CT coronary angiography,6030.0,6935.0,
603,CARDIOVASCULAR & CARDIAC SURGERY,Cardiac CT scan,2272.0,2613.0,
604,CARDIOVASCULAR & CARDIAC SURGERY,Cardiac MRI,6800.0,8000.0,
605,CARDIOVASCULAR & CARDIAC SURGERY,Stress Cardiac MRI,3000.0,3450.0,
606,CARDIOVASCULAR & CARDIAC SURGERY,MR angiography.,5635.0,6480.0,
607,CARDIOVASCULAR & CARDIAC SURGERY,Cardiac PET,1500.0,1725.0,
608,CARDIOVASCULAR & CARDIAC SURGERY,Pericardiocentesis,8500.0,10000.0,
611,OBSTETRICS & GYNAECOLOGY,repair,610.0,4250.0,
612,OBSTETRICS & GYNAECOLOGY,vacuum delivery,8625.0,9919.0,
613,OBSTETRICS & GYNAECOLOGY,Forceps Delivery,9200.0,10580.0,
614,OBSTETRICS & GYNAECOLOGY,Cesarean Section(CS),14050.0,16158.0,
615,OBSTETRICS & GYNAECOLOGY,Cesarean Hysterectomy,18975.0,21821.0,
616,OBSTETRICS & GYNAECOLOGY,Rupture Uterus closure & repair with Tubal Ligation,17250.0,19838.0,
617,OBSTETRICS & GYNAECOLOGY,Perforation of Uterus after D/E Laparotomy & Closure,13800.0,15870.0,
618,OBSTETRICS & GYNAECOLOGY,Laparotomy for Ectopic pregnancy,13800.0,15870.0,
619,OBSTETRICS & GYNAECOLOGY,Laparotomy-peritonitis Lavage and Drainage,11500.0,13225.0,
621,OBSTETRICS & GYNAECOLOGY,Ovarian Cystectomy-laparoscopic.,,,
622,OBSTETRICS & GYNAECOLOGY,Ovarian Cystectomy -laparotomy.,13800.0,15870.0,
623,OBSTETRICS & GYNAECOLOGY,Salpingo-Oophorectomy-laparotomy,11520.0,13248.0,
624,OBSTETRICS & GYNAECOLOGY,with repair,6900.0,7935.0,
625,OBSTETRICS & GYNAECOLOGY,Exploration of perineal Haematoma & Repair,8000.0,9200.0,
626,OBSTETRICS & GYNAECOLOGY,laparotomy + LSCS),8050.0,9258.0,
627,OBSTETRICS & GYNAECOLOGY,Manual Removal of Placenta,3450.0,3968.0,
628,OBSTETRICS & GYNAECOLOGY,Examination under anesthesia (EUA),1000.0,1150.0,
629,OBSTETRICS & GYNAECOLOGY,Burst-abdomen Repair,10000.0,11500.0,
630,OBSTETRICS & GYNAECOLOGY,Gaping Perineal Wound Secondary Suturing,1656.0,1904.0,
631,OBSTETRICS & GYNAECOLOGY,Gaping abdominal wound Secondary Suturing,3450.0,3968.0,
632,OBSTETRICS & GYNAECOLOGY,Complete perineal tear-repair,2128.0,2447.0,
633,OBSTETRICS & GYNAECOLOGY,Exploration of PPH-tear repair,3500.0,4025.0,
634,OBSTETRICS & GYNAECOLOGY,Suction evacuation vesicular mole,5000.0,5750.0,
636,OBSTETRICS & GYNAECOLOGY,Colpotomy,3450.0,3968.0,
637,OBSTETRICS & GYNAECOLOGY,Repair of post-coital tear/ perineal injury,3508.0,4034.0,
638,OBSTETRICS & GYNAECOLOGY,Excision of urethral caruncle,3450.0,3968.0,
639,OBSTETRICS & GYNAECOLOGY,Shirodhkar/ McDonald stitch,3220.0,3703.0,
641,OBSTETRICS & GYNAECOLOGY,Non-descent Vaginal Hysterectomy (NDVH),17250.0,19838.0,
642,OBSTETRICS & GYNAECOLOGY,Vaginal Hysterectomy with repairs (UV Prolapse),17250.0,19838.0,
643,OBSTETRICS & GYNAECOLOGY,Myomectomy -laparotomy,14000.0,16100.0,
644,OBSTETRICS & GYNAECOLOGY,Myomectomy -laparoscopic,6325.0,7274.0,
645,OBSTETRICS & GYNAECOLOGY,Vaginoplasty,14950.0,17193.0,
646,OBSTETRICS & GYNAECOLOGY,Vulvectomy -Simple,9200.0,10580.0,
647,OBSTETRICS & GYNAECOLOGY,Vulvectomy-Radical,9200.0,10580.0,
648,OBSTETRICS & GYNAECOLOGY,Rectovaginal Fistula (RVF) Repair,18975.0,21821.0,
649,OBSTETRICS & GYNAECOLOGY,Manchester Operation,15000.0,17250.0,
650,OBSTETRICS & GYNAECOLOGY,operations for prolapse uterus,3450.0,3968.0,
651,OBSTETRICS & GYNAECOLOGY,Laparoscopic sling operations for prolapse uterus,32200.0,37030.0,
652,OBSTETRICS & GYNAECOLOGY,Diagnostic Curettage,2484.0,2857.0,
653,OBSTETRICS & GYNAECOLOGY,Cervical Biopsy,1800.0,2070.0,
654,OBSTETRICS & GYNAECOLOGY,Polypectomy,1518.0,1746.0,
655,OBSTETRICS & GYNAECOLOGY,Other-Minor Operation Endometrial,2300.0,2645.0,
656,OBSTETRICS & GYNAECOLOGY,Excision Vaginal Cyst/Bartholin Cyst,3450.0,3968.0,
657,OBSTETRICS & GYNAECOLOGY,Excision Vaginal Septum,4600.0,5290.0,
658,OBSTETRICS & GYNAECOLOGY,and or adhesiolysis and drilling,4025.0,4629.0,
659,OBSTETRICS & GYNAECOLOGY,Laparoscopy Sterilization,3450.0,3968.0,
660,OBSTETRICS & GYNAECOLOGY,Laparoscopically Assisted Vaginal Hysterectomy (LAVH),54000.0,62100.0,
661,OBSTETRICS & GYNAECOLOGY,Balloon Temponade for Post Partum Haemorrhage (PPH),2800.0,3220.0,
664,OBSTETRICS & GYNAECOLOGY,Conisation of cervix,4025.0,4629.0,
665,OBSTETRICS & GYNAECOLOGY,Trachelectomy of cervix for early CA cervix,5500.0,6325.0,
666,OBSTETRICS & GYNAECOLOGY,Hysteroscopic cannulation,2875.0,3306.0,
662,OBSTETRICS & GYNAECOLOGY,Total laparoscopic hysterectomy,663.0,663.0,
667,OBSTETRICS & GYNAECOLOGY,Laparotomy recannalization of Fallopian tubes(Tubuloplasty),22425.0,25789.0,
668,OBSTETRICS & GYNAECOLOGY,Laparoscopic recannalization of Fallopian tubes(Tubuloplasty),45980.0,52877.0,
669,OBSTETRICS & GYNAECOLOGY,Colposcopy,958.0,1102.0,
670,OBSTETRICS & GYNAECOLOGY,Inversion of Uterus – Vaginal Reposition,2500.0,2875.0,
671,OBSTETRICS & GYNAECOLOGY,Inversion of Uterus – Abdominal Reposition,2500.0,2875.0,
672,OBSTETRICS & GYNAECOLOGY,Laparoscopic Vesicovaginal Fistula (VVF) Repair,32200.0,37030.0,
673,OBSTETRICS & GYNAECOLOGY,Abdominal Vesicovaginal Fistula (VVF) Repair,32200.0,37030.0,
674,OBSTETRICS & GYNAECOLOGY,Vaginal Vesicovaginal Fistula (VVF) Repair,32200.0,37030.0,
676,OBSTETRICS & GYNAECOLOGY,Amniocentesis,880.0,1012.0,
677,OBSTETRICS & GYNAECOLOGY,Karyotyping,800.0,920.0,
678,OBSTETRICS & GYNAECOLOGY,Thermal balloon ablation.,11500.0,13225.0,
679,OBSTETRICS & GYNAECOLOGY,Ultrasonographic myolysis,10293.0,11837.0,
680,OBSTETRICS & GYNAECOLOGY,Vaginal Myomectomy,10000.0,11500.0,
681,OBSTETRICS & GYNAECOLOGY,Intra Uterine Inseminition,920.0,1058.0,
682,OBSTETRICS & GYNAECOLOGY,Intracytoplasmic sperm injection (ICSI),11500.0,13225.0,
683,OBSTETRICS & GYNAECOLOGY,Laparotomy abdominal sacro-colpopexy,15000.0,17250.0,
684,OBSTETRICS & GYNAECOLOGY,Vaginal Colpopexy,22000.0,25300.0,
685,OBSTETRICS & GYNAECOLOGY,Laparoscopic abdominal sacro-colpopexy,20000.0,23000.0,
686,OBSTETRICS & GYNAECOLOGY,Laparotomy pelvic Lymphadenectomy,1200.0,1380.0,
687,OBSTETRICS & GYNAECOLOGY,Laparoscopic pelvic Lymphadenectomy,3500.0,4025.0,
688,OBSTETRICS & GYNAECOLOGY,Endometrial aspiration cytology/biopsy,570.0,656.0,
689,OBSTETRICS & GYNAECOLOGY,monitioring /aspiration),460.0,529.0,
690,OBSTETRICS & GYNAECOLOGY,laparoscopic treatment for stress incontinence,15000.0,17250.0,
691,OBSTETRICS & GYNAECOLOGY,Transvaginal tapes for Stress incontinence,15000.0,17250.0,
692,OBSTETRICS & GYNAECOLOGY,trans-obturator tapes for Stress incontinence,12000.0,13800.0,
693,OBSTETRICS & GYNAECOLOGY,Interventional radiographic arterial embolization,18000.0,20700.0,
694,OBSTETRICS & GYNAECOLOGY,Diagnostic cystoscopy,2875.0,3306.0,
695,OBSTETRICS & GYNAECOLOGY,Staging laparotomy surgery for Carcinoma Ovary,6325.0,7274.0,
675,OBSTETRICS & GYNAECOLOGY,Interventional Ultrasonography- Chorionic villus sampling (CVS),,,
696,OBSTETRICS & GYNAECOLOGY,Internal Iliac ligation,3393.0,3902.0,
697,OBSTETRICS & GYNAECOLOGY,stepwise devascularisation,9200.0,10580.0,
698,OBSTETRICS & GYNAECOLOGY,Assisted breech delivery,10925.0,12564.0,
699,OBSTETRICS & GYNAECOLOGY,Intra-uterine fetal blood transfusion,21275.0,24466.0,
700,OBSTETRICS & GYNAECOLOGY,Hysteroscopy Transcervical Resection of Endometrium (TCRE),8500.0,9775.0,
701,OBSTETRICS & GYNAECOLOGY,Hysteroscopy Removal of Intra-uterine Contraceptive Device (IUCD),7500.0,8625.0,
702,OBSTETRICS & GYNAECOLOGY,Hysteroscopy Removal of Septum,11000.0,12650.0,
703,OBSTETRICS & GYNAECOLOGY,Hysteroscopy Diagnostic,7500.0,8625.0,
706,OBSTETRICS & GYNAECOLOGY,Sterilization Post partum (minilap),3750.0,4313.0,
707,OBSTETRICS & GYNAECOLOGY,Sterilization interval (minilap),3750.0,4313.0,
708,OBSTETRICS & GYNAECOLOGY,Ultrasonography Level II scan/Anomaly Scan,1700.0,2000.0,
709,OBSTETRICS & GYNAECOLOGY,Fetal nuchal Translucency,300.0,345.0,
705,OBSTETRICS & GYNAECOLOGY,extending to cervix with pelvic and para aortic,704.0,710.0,
713,OBSTETRICS & GYNAECOLOGY,Quadruple test,2000.0,2300.0,
714,OBSTETRICS & GYNAECOLOGY,Biophysical score,600.0,690.0,
715,OBSTETRICS & GYNAECOLOGY,Other Major Surgery-Obstetrics and Gynaecology,28000.0,32200.0,
716,OBSTETRICS & GYNAECOLOGY,Other Minor Surgery-Obstetrics and Gynaecology,5000.0,5750.0,
717,OBSTETRICS & GYNAECOLOGY,Partial Nephrectomy -open,16215.0,18647.0,
718,OBSTETRICS & GYNAECOLOGY,Partial Nephrectomy-Laparoscopic/endoscopic,14490.0,16664.0,
719,OBSTETRICS & GYNAECOLOGY,Nephrolithomy -open,12000.0,13800.0,
720,OBSTETRICS & GYNAECOLOGY,Nephrolithomy -Laparoscopic/endoscopic,14000.0,16100.0,
721,OBSTETRICS & GYNAECOLOGY,Pyelolithotomy-open,13000.0,14950.0,
722,OBSTETRICS & GYNAECOLOGY,Pyelolithotomy -Laparoscopic/endoscopic,10580.0,12167.0,
723,OBSTETRICS & GYNAECOLOGY,Operations for Hydronephrosis -pyeloplasty open,18400.0,21160.0,
724,OBSTETRICS & GYNAECOLOGY,Lap/endoscopic,725.0,725.0,
726,OBSTETRICS & GYNAECOLOGY,Operations for Hydronephrosis Endoplyelotomy retrograde,20000.0,23000.0,
727,OBSTETRICS & GYNAECOLOGY,Operations for Hydronephrosis -ureterocalicostomy,18000.0,20700.0,
728,OBSTETRICS & GYNAECOLOGY,Operations for Hydronephrosis-Ileal ureter,18000.0,20700.0,
729,OBSTETRICS & GYNAECOLOGY,Open Drainage of Perinephric Abscess,8000.0,9200.0,
731,OBSTETRICS & GYNAECOLOGY,Cavernostomy,9775.0,11241.0,
732,OBSTETRICS & GYNAECOLOGY,Operations for Cyst of the Kidney -open,11960.0,13754.0,
733,OBSTETRICS & GYNAECOLOGY,Operations for Cyst of the Kidney -Lap/endoscopic,14030.0,16135.0,
734,OBSTETRICS & GYNAECOLOGY,Ureterolithotomy -open,13248.0,15235.0,
